claim_id,claim_text,manuscript_section,table_or_figure,source_file,source_filter,reported_value,recomputed_value,status,notes
freeze_failures_total,All frozen runs have zero failure rows.,Evidence freeze,FREEZE_FAILURE_AUDIT,FREEZE_FAILURE_AUDIT.csv,sum(failure_rows),0.0,0.0,verified,
timing_leakage_flags,Headline timing audit has no leakage flags.,Design audit,timing_audit_by_checkpoint,timing_audit_by_checkpoint.csv,sum(leakage_flag),0.0,0.0,verified,
timing_vintage_rows,Headline A/S/T calendar rows are vintage-derived.,Design audit,timing_audit_by_checkpoint,timing_audit_by_checkpoint.csv,non_vintage_rows,0.0,0.0,verified,
point_winner_exact_pre_advance_A,Best point model for timing_mode=exact; checkpoint_id=pre_advance; target_id=A is spf.,Results,HEADLINE_POINT_WINNERS_FROM_FREEZE,HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,timing_mode=exact; checkpoint_id=pre_advance; target_id=A,2.2249600782092696,2.2249600782092696,verified,
point_winner_exact_pre_second_S,Best point model for timing_mode=exact; checkpoint_id=pre_second; target_id=S is no_revision.,Results,HEADLINE_POINT_WINNERS_FROM_FREEZE,HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,timing_mode=exact; checkpoint_id=pre_second; target_id=S,0.5696627235545563,0.5696627235545563,verified,
point_winner_exact_pre_third_T,Best point model for timing_mode=exact; checkpoint_id=pre_third; target_id=T is no_revision.,Results,HEADLINE_POINT_WINNERS_FROM_FREEZE,HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,timing_mode=exact; checkpoint_id=pre_third; target_id=T,0.3621867125530698,0.3621867125530698,verified,
point_winner_pseudo_pre_advance_A,Best point model for timing_mode=pseudo; checkpoint_id=pre_advance; target_id=A is spf.,Results,HEADLINE_POINT_WINNERS_FROM_FREEZE,HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,timing_mode=pseudo; checkpoint_id=pre_advance; target_id=A,2.2249600782092696,2.2249600782092696,verified,
point_winner_pseudo_pre_second_S,Best point model for timing_mode=pseudo; checkpoint_id=pre_second; target_id=S is no_revision.,Results,HEADLINE_POINT_WINNERS_FROM_FREEZE,HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,timing_mode=pseudo; checkpoint_id=pre_second; target_id=S,0.5696627235545563,0.5696627235545563,verified,
point_winner_pseudo_pre_third_T,Best point model for timing_mode=pseudo; checkpoint_id=pre_third; target_id=T is no_revision.,Results,HEADLINE_POINT_WINNERS_FROM_FREEZE,HEADLINE_POINT_WINNERS_FROM_FREEZE.csv,timing_mode=pseudo; checkpoint_id=pre_third; target_id=T,0.3621867125530698,0.3621867125530698,verified,
revision_winner_exact_pre_advance_DELTA_SA,Best revision model for timing_mode=exact; checkpoint_id=pre_advance; revision_target_id=DELTA_SA is no_revision; spf; indicator_revision_only_dfm_kalman_em.,Results,HEADLINE_REVISION_WINNERS_FROM_FREEZE,HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,timing_mode=exact; checkpoint_id=pre_advance; revision_target_id=DELTA_SA,0.5696627235545563,0.5696627235545563,verified,
